material_id,codec,tau_e,eligible,numerical_pass,no_pass,non_evaluable,qualified_pass,eligible_no_pass,non_evaluable_no_pass,non_evaluable_pass,n_successful_rows_available
mp-1007755,SPERR,0.0001,False,False,True,True,False,False,True,False,8
mp-1007755,SZ3,0.0001,False,False,True,True,False,False,True,False,9
mp-1007755,ZFP,0.0001,False,False,True,True,False,False,True,False,13
mp-1009084,SPERR,0.0001,False,True,False,True,False,False,False,True,10
mp-1009084,SZ3,0.0001,False,False,True,True,False,False,True,False,10
mp-1009084,ZFP,0.0001,False,True,False,True,False,False,False,True,12
mp-1025517,SPERR,0.0001,False,False,True,True,False,False,True,False,10
mp-1025517,SZ3,0.0001,False,False,True,True,False,False,True,False,10
mp-1025517,ZFP,0.0001,False,False,True,True,False,False,True,False,13
mp-1036731,SPERR,0.0001,False,False,True,True,False,False,True,False,10
mp-1036731,SZ3,0.0001,False,False,True,True,False,False,True,False,10
mp-1036731,ZFP,0.0001,False,False,True,True,False,False,True,False,12
mp-1038991,SPERR,0.0001,False,False,True,True,False,False,True,False,8
mp-1038991,SZ3,0.0001,False,False,True,True,False,False,True,False,8
mp-1038991,ZFP,0.0001,False,False,True,True,False,False,True,False,10
mp-1039028,SPERR,0.0001,False,False,True,True,False,False,True,False,8
mp-1039028,SZ3,0.0001,False,False,True,True,False,False,True,False,9
mp-1039028,ZFP,0.0001,False,True,False,True,False,False,False,True,10
mp-1041800,SPERR,0.0001,False,False,True,True,False,False,True,False,11
mp-1041800,SZ3,0.0001,False,False,True,True,False,False,True,False,10
mp-1041800,ZFP,0.0001,False,False,True,True,False,False,True,False,13
mp-1044003,SPERR,0.0001,False,False,True,True,False,False,True,False,9
mp-1044003,SZ3,0.0001,False,False,True,True,False,False,True,False,9
mp-1044003,ZFP,0.0001,False,True,False,True,False,False,False,True,11
mp-1044463,SPERR,0.0001,False,False,True,True,False,False,True,False,11
mp-1044463,SZ3,0.0001,False,False,True,True,False,False,True,False,11
mp-1044463,ZFP,0.0001,False,False,True,True,False,False,True,False,13
mp-1046632,SPERR,0.0001,False,True,False,True,False,False,False,True,11
mp-1046632,SZ3,0.0001,False,False,True,True,False,False,True,False,11
mp-1046632,ZFP,0.0001,False,True,False,True,False,False,False,True,12
mp-1065204,SPERR,0.0001,True,True,False,False,True,False,False,False,11
mp-1065204,SZ3,0.0001,True,True,False,False,True,False,False,False,9
mp-1065204,ZFP,0.0001,True,True,False,False,True,False,False,False,13
mp-1069461,SPERR,0.0001,False,True,False,True,False,False,False,True,10
mp-1069461,SZ3,0.0001,False,False,True,True,False,False,True,False,9
mp-1069461,ZFP,0.0001,False,True,False,True,False,False,False,True,12
mp-10761,SPERR,0.0001,False,False,True,True,False,False,True,False,10
mp-10761,SZ3,0.0001,False,False,True,True,False,False,True,False,9
mp-10761,ZFP,0.0001,False,False,True,True,False,False,True,False,13
mp-1077125,SPERR,0.0001,False,True,False,True,False,False,False,True,12
mp-1077125,SZ3,0.0001,False,False,True,True,False,False,True,False,12
mp-1077125,ZFP,0.0001,False,False,True,True,False,False,True,False,13
mp-1077596,SPERR,0.0001,False,False,True,True,False,False,True,False,11
mp-1077596,SZ3,0.0001,False,False,True,True,False,False,True,False,10
mp-1077596,ZFP,0.0001,False,False,True,True,False,False,True,False,12
mp-1078524,SPERR,0.0001,False,False,True,True,False,False,True,False,7
mp-1078524,SZ3,0.0001,False,False,True,True,False,False,True,False,8
mp-1078524,ZFP,0.0001,False,True,False,True,False,False,False,True,11
mp-1079749,SPERR,0.0001,False,False,True,True,False,False,True,False,5
mp-1079749,SZ3,0.0001,False,False,True,True,False,False,True,False,5
mp-1079749,ZFP,0.0001,False,False,True,True,False,False,True,False,5
mp-1094905,SPERR,0.0001,False,False,True,True,False,False,True,False,7
mp-1094905,SZ3,0.0001,False,False,True,True,False,False,True,False,8
mp-1094905,ZFP,0.0001,False,True,False,True,False,False,False,True,10
