material_id,corpus,domain,ladder,codec,nominal_tolerance_relative,stage,category,detail
mp-1078524,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
mp-1111338,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-1112138,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
mp-1114492,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index -4 is out of bounds for axis 0 with size 3
mp-1178256,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 2 with size 3
mp-1192831,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-1193567,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index -4 is out of bounds for axis 0 with size 3
mp-1200429,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-1205681,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index -4 is out of bounds for axis 0 with size 3
mp-1211145,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-1300873,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
mp-2240057,dev_bulk,bulk,base,ZFP,0.01,zfp@0.01,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-24407,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index -4 is out of bounds for axis 0 with size 3
mp-24460,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-26619,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-32108,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-37888,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
mp-560030,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 2 with size 3
mp-567699,dev_bulk,bulk,base,ZFP,0.03,zfp@0.03,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-569678,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
mp-644443,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
mp-6586,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 0 with size 3
mp-684706,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 1 with size 3
mp-752546,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 2 with size 3
mp-752866,dev_bulk,bulk,base,ZFP,0.1,zfp@0.1,bader_solver_failure,IndexError: index 3 is out of bounds for axis 2 with size 3
